session_id,physical_target,accel_mag,gyro_mag,delta_accel,delta_gyro,rolling_mean,rolling_std,peak_accel,peak_gyro
EXP_01_NORMAL_STATIONARY_S1,NORMAL,15275.658545542316,920.6937601613251,89.2646238067573,10.42182277118468,15320.290857445696,63.11962081382421,15364.923169349076,920.6937601613251
EXP_01_NORMAL_STATIONARY_S1,NORMAL,15273.45357147492,915.5648529732888,2.204974067397416,5.1289071880364645,15304.678428788771,52.185122894779525,15364.923169349076,920.6937601613251
EXP_01_NORMAL_STATIONARY_S1,NORMAL,15332.175840369167,877.1185780725432,58.72226889424746,38.44627490074561,15311.55278168387,44.77221919822896,15364.923169349076,920.6937601613251
EXP_01_NORMAL_STATIONARY_S1,NORMAL,15422.946022080218,881.3188980159225,90.7701817110501,4.200319943379327,15333.83142976314,63.12768418174729,15422.946022080218,920.6937601613251
EXP_01_NORMAL_STATIONARY_S1,NORMAL,15412.284451047482,880.421489969435,10.661571032735084,0.8974080464874987,15343.30368610282,71.90267748481384,15422.946022080218,920.6937601613251
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15353.026020951049,871.2829620737456,20.218319815552604,46.71822841119069,15342.916861043272,14.296511045776237,15353.026020951049,871.2829620737456
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15273.64108521606,903.2419387960238,79.38493573499,31.95897672227818,15319.824935767536,41.254165278935744,15353.026020951049,903.2419387960238
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15250.469369825963,942.1894713909724,23.171715390093595,38.9475325949486,15302.486044282145,48.344107538319854,15353.026020951049,942.1894713909724
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15360.257289511786,849.6558126676942,109.78791968582118,92.53365872327812,15314.040293328071,49.19723473259705,15360.257289511786,942.1894713909724
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15349.261350306078,966.3146485488048,10.995939205708057,116.65883588111046,15317.331023162187,51.2728835886212,15360.257289511786,966.3146485488048
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15329.678926839922,864.0937449142888,19.582423466155888,102.22090363451592,15312.66160433996,48.179235318159016,15360.257289511786,966.3146485488048
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15356.119301438108,876.4884482980937,26.44037459818537,12.39470338380488,15329.157247584371,45.52580080984772,15360.257289511786,966.3146485488048
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15292.733437812874,855.167819787438,63.38586362523347,21.32062851065564,15337.610061181753,27.6950161631103,15360.257289511786,966.3146485488048
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15357.552409156871,875.4381760010241,64.81897134399696,20.27035621358607,15337.06908511077,27.163360880425408,15357.552409156871,966.3146485488048
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15388.193916116345,892.8594514255869,30.64150695947137,17.42127542456285,15344.855598272825,35.75381369841031,15388.193916116345,892.8594514255869
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15361.372855314725,891.0909044536365,26.82106080161975,1.7685469719504,15351.194383967784,35.195625366995095,15388.193916116345,892.8594514255869
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15378.45297811194,885.8910768260396,17.080122797216973,5.19982762759696,15355.661119302553,37.32943108248398,15388.193916116345,892.8594514255869
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15304.234708079985,932.670359773484,74.21827003195722,46.77928294744436,15357.961373355973,32.52795924194623,15388.193916116345,932.670359773484
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15311.750259196366,884.1611844002201,7.515551116382994,48.509175373263815,15348.80094336387,38.56165505310168,15388.193916116345,932.670359773484
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15345.766321692769,871.3128026145375,34.01606249640281,12.84838178568259,15340.315424479157,31.801680122411693,15378.45297811194,932.670359773484
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15344.863896431274,935.5672076339572,0.9024252614945,64.25440501941966,15337.013632702468,29.86700308640841,15378.45297811194,935.5672076339572
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15346.299097828114,864.609160256818,1.435201396840057,70.95804737713922,15330.582856645702,20.79890384507398,15346.299097828114,935.5672076339572
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15351.09585664815,863.8362113271243,4.796758820035393,0.7729489296937118,15339.955086359336,15.951037520021051,15351.09585664815,935.5672076339572
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15278.561188803087,910.0796668424144,72.53466784506236,46.24345551529018,15333.317272280678,30.7047956148566,15351.09585664815,935.5672076339572
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15285.546113894656,886.6972425805778,6.984925091568584,23.382424261836604,15321.273230721055,35.96160435738584,15351.09585664815,935.5672076339572
EXP_01_NORMAL_STATIONARY_S2,NORMAL,15348.204324936516,868.1353581095519,62.65821104186034,18.561884471025905,15321.941316422104,36.53587478869091,15351.09585664815,910.0796668424144
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,NORMAL,15275.658545542316,920.6937601613251,89.2646238067573,10.42182277118468,15320.290857445696,63.11962081382421,15364.923169349076,920.6937601613251
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,NORMAL,15273.45357147492,915.5648529732888,2.204974067397416,5.1289071880364645,15304.678428788771,52.185122894779525,15364.923169349076,920.6937601613251
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,NORMAL,15332.175840369167,877.1185780725432,58.72226889424746,38.44627490074561,15311.55278168387,44.77221919822896,15364.923169349076,920.6937601613251
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,NORMAL,15422.946022080218,881.3188980159225,90.7701817110501,4.200319943379327,15333.83142976314,63.12768418174729,15422.946022080218,920.6937601613251
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,NORMAL,16064.849828118531,1382.389236069205,641.9038060383136,501.0703380532825,15473.81676151703,335.9249004513399,16064.849828118531,1382.389236069205
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,NORMAL,15582.981101188563,1063.261491825976,481.8687269299662,319.127744243229,15535.281272646282,318.2541825447169,16064.849828118531,1382.389236069205
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,PHYSICAL_TAMPER,18809.837851507385,3893.443206212208,3226.856750318821,2830.181714386232,16242.558128652774,1462.712137322186,18809.837851507385,3893.443206212208
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,PHYSICAL_TAMPER,16178.07157852876,1535.8385331798393,2631.766272978626,2357.6046730323687,16411.73727628469,1377.530568720495,18809.837851507385,3893.443206212208
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,PHYSICAL_TAMPER,20490.72961121688,4836.569031865461,4312.658032688114,3300.7304986856216,17425.29399411202,2128.047584866073,20490.72961121688,4836.569031865461
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,PHYSICAL_TAMPER,19976.48617750379,4468.568003286959,514.2434337130835,368.001028578502,18207.62126398908,2219.906503417679,20490.72961121688,4836.569031865461
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,PHYSICAL_TAMPER,21022.13119548064,5336.89984916337,1045.6450179768435,868.3318458764115,19295.451282847487,1925.344057324304,21022.13119548064,5336.89984916337
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,PHYSICAL_TAMPER,25393.70000610388,9611.581555602595,4371.568810623245,4274.681706439225,20612.223713766783,3282.954761649583,25393.70000610388,9611.581555602595
EXP_02_PHYSICAL_EXPERIMENTS_LABELED_S1,PHYSICAL_TAMPER,24717.200488728493,9195.890386471558,676.499517375385,415.6911691310379,22320.049495806736,2535.5942362535,25393.70000610388,9611.581555602595
